Model, Price
Lenovo Premium Built High Performance 15.6 inch HD Laptop (Intel Celeron Processor 4GB RAM 500GB HDD DVD RW Bluetooth Webcam WiFi HDMI Windows 10 ) - Black,$479.55
Lenovo IdeaPad L340 Gaming Laptop, 15.6-Inch FHD (1920 X 1080) IPS Display, Intel Core i7-9750H Processor, 8GB DDR4 RAM, 1TB HDD, 256GB NVMe SSD, NVIDIA GeForce GTX 1050, Windows 10, 81LK000EUS, Black,$1,732.72
2018 Premium Flagship Lenovo Yoga 720 12.5 Inch FHD Touchscreen Tablet Laptop (Intel Core i5-7200U up to 3.1GHz, 8GB DDR4, 256GB SSD, USB 3.0, Harman/Kardon, Bluetooth, WiFi, Windows 10),$1,469.17
Lenovo Ideapad 320 15.6 inch HD Flagship Premium Laptop PC | Intel Celeron N3350 Dual-Core | 4GB RAM | 128GB SSD | Bluetooth 4.1 | WiFi | DVD RW | Ethernet | Windows 10 Home (Red),$547.48
Lenovo IdeaPad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 1TB HDD, 128GB NVMe SSD, NVIDIA GeForce GTX 1050, Windows 10, 81LK000EUS, Black,$1,599.00
2018 Newest Lenovo Ideapad 15.6" Inch Business Premium Laptop Computer-AMD A12 Quad core Processor CPU, 8GB DDR4 RAM, 1TB HDD, DVD, Webcam, WiFi, Bluetooth, Windows 10 (Affordable High Performance),$615.51
Lenovo ThinkPad X1 Carbon 6th Gen Black,$2,729.00
Lenovo Flex 3 14-Inch Touchscreen Laptop (Core i7, 8 GB RAM, 1 TB HDD, Windows 10) 80R3000UUS,$972.05
Lenovo ThinkPad P1 Laptop, 15.6",$3,451.76
Lenovo Ideapad 320 15.6 inch HD Flagship Premium Laptop PC, Intel Celeron N3350 Dual-Core, 4GB RAM, 128GB SSD, Bluetooth 4.1, WiFi, DVD RW, Ethernet, Windows 10 Home (Red),$468.21
